location,cpu,monitor,cable
Vertiz,MZ036YBJ,V5XF31YW,CREDCFCRL_0201
Vertiz,MZ036YBZ,V5XF31YP,CREDCFCRL_0202
Vertiz,MZ035QJ8,V5XF31YR,CREDCFCRL_0203
Vertiz,MZ035QGL,V5XF31YC,CREDCFCRL_0204
Vertiz,MZ035QK6,V5XF32AY,CREDCFCRL_0205
Vertiz,MZ035QKD,V5XF31YH,CREDCFCRL_0206
Vertiz,MZ035QKK,V5XF31YG,CREDCFCRL_0207
Vertiz,MZ035QJN,V5XF31YL,CREDCFCRL_0208
Vertiz,MZ035QJM,V5XF31YM,CREDCFCRL_0209
Vertiz,MZ035QKR,V5XF31Y1,CREDCFCRL_0210
Vertiz,MZ036YBT,V5XF31XZ,CREDCFCRL_0211
Vertiz,MZ036YBL,V5XF31XW,CREDCFCRL_0212
Vertiz,MZ036YBC,V5XF31Y3,CREDCFCRL_0213
Vertiz,MZ036YBA,V5XF31YD,CREDCFCRL_0214
Vertiz,MZ036YBM,V5XF31X9,CREDCFCRL_0215
Vertiz,MZ035QJ6,V5XF31XY,CREDCFCRL_0216
Vertiz,MZ035QG8,V5XF31XT,CREDCFCRL_0217
Vertiz,MZ035QGB,V5XF31Y0,CREDCFCRL_0218
Vertiz,MZ035QG9,V5XF31WH,CREDCFCRL_0219
Vertiz,MZ035QG6,V5XF31WM,CREDCFCRL_0220
Vertiz,MZ035QKC,V5XF31WY,CREDCFCRL_0221
Vertiz,MZ036YB9,V5XF31WZ,CREDCFCRL_0222
Vertiz,MZ036YBS,V5XF31X2,CREDCFCRL_0223
Vertiz,MZ035QHR,V5XF31WT,CREDCFCRL_0224
Vertiz,MZ035QG7,V5XF31WN,CREDCFCRL_0225
Vertiz,MZ035QDH,V5XF31XL,CREDCFCRL_0226
Vertiz,MZ035QE3,V5XF31X3,CREDCFCRL_0227
Vertiz,MZ035QEC,V5XF31YF,CREDCFCRL_0228
Vertiz,MZ035QDW,V5XF31YA,CREDCFCRL_0229
Vertiz,MZ035QKJ,V5XF31Y9,CREDCFCRL_0230
